99Age,work-class,Edu-no,Occupation,Family,Race,Male=0/Female=1,hours/week,salary
1,1,13,9,0,1,0,0,0
1,0,13,5,1,1,0,0,0
1,2,9,7,0,1,0,0,0
1,2,7,7,1,0,0,0,0
1,2,13,6,1,0,1,0,0
1,2,14,5,1,1,1,0,0
1,2,5,2,0,0,1,0,0
1,0,9,5,1,1,0,0,1
1,2,14,6,0,1,1,0,1
1,2,13,5,1,1,0,0,1
1,2,10,5,1,0,0,0,1
1,1,13,6,1,2,0,0,1
1,2,13,9,1,1,1,0,0
1,2,12,4,0,0,0,0,0
1,2,11,1,1,2,0,0,1
1,2,4,11,1,3,0,0,0
1,0,9,10,1,1,0,0,0
1,2,9,8,0,1,0,0,0
1,2,7,4,1,1,0,0,0
1,0,14,5,0,1,1,0,1
1,2,16,6,1,1,0,0,1
1,2,9,2,0,0,1,0,0
1,1,5,10,1,0,0,0,0
1,2,7,11,1,1,0,0,0
1,2,9,0,0,1,1,0,0
1,1,13,0,1,1,0,0,1
0,2,9,1,1,1,0,0,0
1,99,10,99,1,2,0,0,1
1,2,9,5,0,1,0,0,0
1,2,9,1,1,1,0,0,0
1,1,12,13,0,1,0,0,0
1,2,10,4,1,0,0,0,0
1,2,13,5,1,1,0,0,0
1,1,10,9,1,1,0,0,0
1,1,10,2,1,0,0,0,0
1,2,7,8,0,1,0,0,0
1,2,10,8,1,1,0,0,0
0,2,9,9,1,1,1,0,0
1,2,10,4,1,1,0,0,1
1,0,12,6,1,1,0,0,0
1,2,5,8,1,1,0,0,0
1,0,13,6,1,1,0,0,0
1,2,13,0,1,1,0,0,0
1,2,9,9,0,1,1,0,0
1,2,9,7,0,1,0,0,0
1,1,13,6,1,0,0,0,1
1,2,9,8,1,1,0,0,0
1,2,14,5,0,1,1,0,0
1,1,11,1,1,1,0,0,0
1,2,11,6,0,1,0,0,0
1,2,10,5,1,4,1,0,0
0,2,9,2,1,1,1,0,0
1,2,15,6,1,1,1,0,1
1,1,13,5,0,1,0,0,1
1,0,9,5,0,1,0,0,0
1,2,10,0,1,1,0,0,1
1,2,3,8,1,1,0,0,0
1,2,11,2,1,1,0,0,0
1,2,9,9,1,1,0,0,0
1,2,9,8,1,1,0,0,0
1,2,13,4,1,1,0,0,0
1,99,4,99,0,1,0,0,0
1,2,9,11,1,1,0,0,0
1,2,16,6,1,1,0,0,1
1,2,10,0,0,1,0,0,0
1,2,9,1,1,1,0,0,0
1,2,10,9,0,1,1,0,0
1,2,9,9,1,1,1,0,1
1,0,10,5,1,1,0,0,1
1,99,10,99,1,1,0,0,0
0,2,10,6,1,1,0,0,0
1,2,13,4,1,0,1,0,0
1,0,13,4,1,1,0,0,1
1,2,10,8,0,1,0,0,0
2,2,10,6,1,1,0,0,0
1,2,9,2,1,1,0,0,0
1,2,12,9,1,1,0,0,0
2,99,6,99,1,1,0,0,0
0,2,7,2,1,1,1,0,0
1,1,4,10,1,1,0,0,0
0,2,9,4,0,1,0,0,0
1,2,13,2,1,1,0,0,0
1,2,9,2,1,1,1,0,0
1,2,9,4,1,1,0,0,0
1,2,9,1,0,1,1,0,1
1,2,9,4,1,1,1,0,0
1,1,9,13,1,1,0,0,1
1,2,14,6,1,1,0,0,0
1,2,5,4,0,1,0,0,0
1,1,16,6,0,1,1,0,1
1,2,11,6,1,1,0,0,0
1,2,10,1,0,1,1,0,0
1,2,10,8,0,0,1,0,0
1,2,9,4,1,2,1,0,0
1,1,13,13,1,1,0,0,1
1,1,10,7,0,1,0,0,0
1,0,16,6,1,1,0,0,1
1,2,10,4,1,1,0,0,1
1,2,12,5,0,1,1,0,0
1,1,9,2,1,0,0,0,0
2,2,14,5,1,1,0,0,1
1,2,13,5,1,1,0,0,1
1,0,14,6,0,1,1,0,0
1,2,10,0,1,1,1,0,0
1,2,9,1,0,1,0,0,0
1,0,9,1,1,1,0,0,1
0,99,6,99,1,1,1,0,0
1,2,7,7,1,1,0,0,0
1,1,9,9,0,1,1,0,0
1,2,9,7,1,1,0,0,0
1,2,13,4,1,1,0,0,0
1,2,15,6,1,1,0,0,1
1,0,9,2,1,1,0,0,1
1,2,10,4,1,1,1,0,0
1,2,9,8,1,1,1,0,0
1,2,5,7,1,1,0,0,0
1,0,10,4,1,1,0,0,0
1,1,11,1,1,0,0,0,1
1,2,10,4,1,1,0,0,0
1,2,9,1,0,1,0,0,0
1,2,10,2,1,1,1,0,0
1,2,13,5,1,1,0,0,0
1,2,13,5,1,0,0,0,0
1,1,13,6,1,1,0,0,1
0,2,10,2,1,0,0,0,0
1,2,13,5,1,1,1,0,1
1,2,10,9,1,1,1,0,0
1,2,12,9,1,1,0,0,1
1,99,9,99,1,1,0,0,0
1,2,10,1,0,1,0,0,0
1,2,12,4,0,1,1,0,0
1,2,9,2,0,1,1,0,0
1,0,9,1,1,1,0,0,0
1,2,13,4,1,1,0,0,0
1,2,12,0,0,0,1,0,0
1,1,14,6,1,1,0,0,1
1,0,9,1,1,1,0,0,0
1,2,11,9,1,1,1,0,0
1,2,10,4,1,1,0,0,0
