Age,work-class,Edu-no,Occupation,Family,Race,Gender,hours/week,salary
39,1,13,9,0,1,0,40,0
50,0,13,5,1,1,0,13,0
38,2,9,7,0,1,0,40,0
53,2,7,7,1,0,0,40,0
28,2,13,6,1,0,1,40,0
37,2,14,5,1,1,1,40,0
49,2,5,2,0,0,1,16,0
52,0,9,5,1,1,0,45,1
31,2,14,6,0,1,1,50,1
42,2,13,5,1,1,0,40,1
37,2,10,5,1,0,0,80,1
30,1,13,6,1,2,0,40,1
23,2,13,9,1,1,1,30,0
32,2,12,4,0,0,0,50,0
40,2,11,1,1,2,0,40,1
34,2,4,11,1,3,0,45,0
25,0,9,10,1,1,0,35,0
32,2,9,8,0,1,0,40,0
38,2,7,4,1,1,0,50,0
43,0,14,5,0,1,1,45,1
40,2,16,6,1,1,0,60,1
54,2,9,2,0,0,1,20,0
35,1,5,10,1,0,0,40,0
43,2,7,11,1,1,0,40,0
59,2,9,0,0,1,1,40,0
56,1,13,0,1,1,0,40,1
19,2,9,1,1,1,0,40,0
54, ?,10, ?,1,2,0,60,1
39,2,9,5,0,1,0,80,0
49,2,9,1,1,1,0,40,0
23,1,12,13,0,1,0,52,0
20,2,10,4,1,0,0,44,0
45,2,13,5,1,1,0,40,0
30,1,10,9,1,1,0,40,0
22,1,10,2,1,0,0,15,0
48,2,7,8,0,1,0,40,0
21,2,10,8,1,1,0,40,0
19,2,9,9,1,1,1,25,0
31,2,10,4,1,1,0,38,1
48,0,12,6,1,1,0,40,0
31,2,5,8,1,1,0,43,0
53,0,13,6,1,1,0,40,0
24,2,13,0,1,1,0,50,0
49,2,9,9,0,1,1,40,0
25,2,9,7,0,1,0,35,0
57,1,13,6,1,0,0,40,1
53,2,9,8,1,1,0,38,0
44,2,14,5,0,1,1,40,0
41,1,11,1,1,1,0,40,0
29,2,11,6,0,1,0,43,0
25,2,10,5,1,4,1,40,0
18,2,9,2,1,1,1,30,0
47,2,15,6,1,1,1,60,1
50,1,13,5,0,1,0,55,1
47,0,9,5,0,1,0,60,0
43,2,10,0,1,1,0,40,1
46,2,3,8,1,1,0,40,0
35,2,11,2,1,1,0,40,0
41,2,9,9,1,1,0,48,0
30,2,9,8,1,1,0,40,0
30,2,13,4,1,1,0,40,0
32, ?,4, ?,0,1,0,40,0
48,2,9,11,1,1,0,40,0
42,2,16,6,1,1,0,45,1
29,2,10,0,0,1,0,58,0
36,2,9,1,1,1,0,40,0
28,2,10,9,0,1,1,40,0
53,2,9,9,1,1,1,40,1
49,0,10,5,1,1,0,50,1
25, ?,10, ?,1,1,0,40,0
19,2,10,6,1,1,0,32,0
31,2,13,4,1,0,1,40,0
29,0,13,4,1,1,0,70,1
23,2,10,8,0,1,0,40,0
79,2,10,6,1,1,0,20,0
27,2,9,2,1,1,0,40,0
40,2,12,9,1,1,0,40,0
67, ?,6, ?,1,1,0,2,0
18,2,7,2,1,1,1,22,0
31,1,4,10,1,1,0,40,0
18,2,9,4,0,1,0,30,0
52,2,13,2,1,1,0,40,0
46,2,9,2,1,1,1,40,0
59,2,9,4,1,1,0,48,0
44,2,9,1,0,1,1,40,1
53,2,9,4,1,1,1,35,0
49,1,9,13,1,1,0,40,1
33,2,14,6,1,1,0,50,0
30,2,5,4,0,1,0,40,0
43,1,16,6,0,1,1,50,1
57,2,11,6,1,1,0,40,0
37,2,10,1,0,1,1,40,0
28,2,10,8,0,0,1,25,0
30,2,9,4,1,2,1,35,0
34,1,13,13,1,1,0,40,1
29,1,10,7,0,1,0,50,0
48,0,16,6,1,1,0,60,1
37,2,10,4,1,1,0,48,1
48,2,12,5,0,1,1,40,0
32,1,9,2,1,0,0,40,0
76,2,14,5,1,1,0,40,1
44,2,13,5,1,1,0,60,1
47,0,14,6,0,1,1,50,0
20,2,10,0,1,1,1,40,0
29,2,9,1,0,1,0,40,0
32,0,9,1,1,1,0,40,1
17, ?,6, ?,1,1,1,32,0
30,2,7,7,1,1,0,40,0
31,1,9,9,0,1,1,40,0
42,2,9,7,1,1,0,40,0
24,2,13,4,1,1,0,40,0
38,2,15,6,1,1,0,40,1
56,0,9,2,1,1,0,50,1
28,2,10,4,1,1,1,25,0
36,2,9,8,1,1,1,40,0
53,2,5,7,1,1,0,50,0
56,0,10,4,1,1,0,50,0
49,1,11,1,1,0,0,40,1
55,2,10,4,1,1,0,56,0
22,2,9,1,0,1,0,41,0
21,2,10,2,1,1,1,40,0
40,2,13,5,1,1,0,60,0
30,2,13,5,1,0,0,40,0
29,1,13,6,1,1,0,50,1
19,2,10,2,1,0,0,35,0
47,2,13,5,1,1,1,40,1
20,2,10,9,1,1,1,28,0
31,2,12,9,1,1,0,40,1
35, ?,9, ?,1,1,0,40,0
39,2,10,1,0,1,0,40,0
28,2,12,4,0,1,1,60,0
24,2,9,2,0,1,1,40,0
38,0,9,1,1,1,0,35,0
37,2,13,4,1,1,0,50,0
46,2,12,0,0,0,1,36,0
38,1,14,6,1,1,0,40,1
43,0,9,1,1,1,0,60,0
27,2,11,9,1,1,1,35,0
20,2,10,4,1,1,0,20,0
49,2,10,1,1,2,0,40,1
61,0,9,1,1,1,0,40,0
27,2,10,4,1,1,1,40,0
19,2,10,2,1,1,0,30,0
45,2,11,6,0,1,1,40,1
70,2,10,0,1,1,0,40,0
31,2,9,11,0,0,1,30,0
22,2,10,2,1,1,0,24,0
36,2,9,2,0,1,1,24,0
64,2,7,1,1,1,0,40,0
43, ?,10, ?,0,1,1,40,0
47,1,10,9,0,1,1,38,0
34,2,9,9,0,1,1,40,0
33,2,13,5,1,2,1,40,0
21,2,9,1,1,1,0,35,0
52, ?,9, ?,0,1,0,45,1
48,2,9,1,1,1,0,46,0
23,2,13,7,0,1,0,40,0
71,0,10,4,0,0,0,2,0
29,2,9,1,0,1,0,60,0
42,2,13,2,1,0,0,50,0
68, ?,2, ?,0,1,1,20,0
25,2,9,2,0,1,1,40,0
44,0,14,5,0,2,1,40,0
28,2,9,5,0,2,1,40,0
45,0,14,4,1,1,0,40,1
36,2,10,2,0,1,1,40,0
39,1,12,5,0,1,0,42,0
46,1,14,13,0,1,0,40,0
18,2,7,7,1,1,0,16,0
66,1,11,6,0,1,1,20,0
27,2,9,2,0,1,0,40,0
28,1,9,13,1,1,0,40,0
51,2,10,4,1,1,0,40,1
27,2,13,1,0,1,0,50,0
28,1,13,6,1,1,0,40,1
27,2,9,4,0,1,1,25,0
21,2,9,1,1,0,0,40,0
34,2,9,7,0,0,0,40,0
18,2,9,2,1,1,0,12,0
33,2,13,6,1,1,0,65,0
44,1,10,5,1,0,0,38,1
43,2,10,9,0,1,1,40,0
30,2,10,1,0,0,0,45,0
40,2,4,8,1,1,0,40,1
37,1,10,9,1,1,0,42,1
34,2,9,9,1,0,0,40,0
41,0,13,5,0,1,1,40,0
53, ?,13, ?,0,1,1,50,0
31,2,14,6,1,1,1,50,0
58,1,16,6,1,1,0,1,1
38,2,10,8,0,0,1,28,0
24,2,10,8,1,1,0,40,0
